COMMON	ATG9A	BECN1	CUL4A	DDB1	DDB2	ERCC2	ERCC3	ERCC4	ERCC5	PIK3C3	PRKDC	XPA	XPC	XRCC5	XRCC6
TCGA-3N-A9WD-06	-0.7418	-1.1462	1.3506	-0.6955	-0.8730	-0.2698	-0.9301	-0.8790	1.6045	0.0736	-1.1852	1.2996	-0.5074	-0.7601	-0.7048
TCGA-ER-A19O-06	3.3927	-1.6377	-2.0521	1.2714	-0.1849	1.2328	-2.3703	-1.9973	-1.5417	-1.7395	-1.4915	-1.3966	-0.2997	-2.0845	-1.4316
TCGA-EE-A3J4-06	-0.2233	0.3393	0.8581	-0.3054	0.5254	-0.2209	0.1310	-0.8318	-0.3224	-0.3027	1.6209	-0.1004	4.0395	0.2503	-0.0716
TCGA-RP-A695-06	0.3525	2.1074	2.2476	-0.2807	-0.0907	0.8582	-2.1299	-1.0423	0.0027	-0.0996	-0.2203	-0.6161	-0.8642	-0.4179	1.7860
TCGA-FS-A1ZR-06	0.4658	0.3655	-0.3308	-0.2089	0.6291	-0.2978	0.1617	0.7805	-0.6270	0.2387	2.1519	-0.8054	-0.0551	0.0539	-0.1873
TCGA-EE-A2GE-06	-0.8499	-0.0081	-1.2856	-0.9072	-0.8246	-0.7676	-0.2158	0.5091	-0.3038	-0.0892	0.3140	-0.5662	0.0886	-0.2110	0.1410
TCGA-EE-A2M8-06	-0.6221	0.0909	-0.7936	-0.7680	-0.7720	-0.6140	-0.7595	0.0501	0.2782	-0.2713	0.3702	-0.6128	-0.7961	-0.5148	-0.7468
TCGA-EB-A4IS-01	-0.0299	0.7923	-0.0755	-0.5856	-0.3599	0.0505	-0.1721	1.2656	0.5831	0.1974	0.3374	-0.8619	2.5589	-0.3799	-0.8675
TCGA-XV-AAZW-01	-0.5571	0.1191	-0.1845	-0.7275	2.4137	-0.1286	-0.5041	-1.3108	-0.5448	-1.3258	-0.9814	-0.6048	0.4971	-0.7150	-1.6676
TCGA-EE-A3J5-06	-0.0350	0.7891	-1.1809	-0.5786	0.7229	0.0189	1.4995	-0.6553	-0.2278	1.9690	0.9607	-1.0438	-1.0133	0.2022	1.0815
TCGA-BF-AAP7-01	0.6829	0.2268	-0.9621	-0.3495	2.0683	-0.3804	0.0793	-1.5561	-0.8325	-1.2980	-1.2244	-1.0706	-1.4840	-0.1796	0.7242
TCGA-DA-A3F3-06	0.4396	-1.3716	1.7171	-0.2363	-0.5888	-0.5440	-0.7628	-0.0316	0.7902	-0.0493	0.1444	-0.2469	-0.1196	1.1707	-0.4758
