Barcode	UVRAG_mRNA	% PCT_UV_O	% PCT_UV_X
TCGA-BF-A1PV	-1.3915	91.17647059	20
TCGA-BF-A1PX	-0.5358	88.51351351	0
TCGA-BF-A1PZ	-0.1615	90.05847953	33.33333333
TCGA-BF-A1Q0	-0.3275	77.02020202	11.11111111
TCGA-BF-A3DJ	-0.4903	85.80645161	30
TCGA-BF-A3DL	-1.6281	88.9596603	50
TCGA-BF-A3DM	-0.0774	91.18198874	29.41176471
TCGA-BF-A3DN	-0.8108	80.23255814	12.5
TCGA-BF-A5EO	-1.6491	90.83969466	27.77777778
TCGA-BF-A5EQ	-0.6269	91.68081494	33.33333333
TCGA-D3-A1Q1	-1.4325	31.57894737	38.46153846
TCGA-D3-A1Q3	0.93	7.407407407	20
TCGA-D3-A1Q4	0.0608	90.4109589	16.66666667
TCGA-D3-A1Q5	-0.7354	87.21590909	23.52941176
TCGA-D3-A1Q6	-1.0523	90.4109589	39.13043478
TCGA-D3-A1Q7	-0.4442	91.46341463	50
TCGA-D3-A1Q8	-1.5345	89.90825688	55.55555556
TCGA-D3-A1Q9	-0.153	30.76923077	33.33333333
TCGA-D3-A1QA	0.2543	89.21052632	37.5
TCGA-D3-A1QB	1.4257	86.71328671	0
TCGA-D3-A2J6	3.4961	27.02702703	50
TCGA-D3-A2J7	-0.519	91.72661871	33.33333333
TCGA-D3-A2J8	-0.1934	87.14285714	50
TCGA-D3-A2J9	1.0254	80	0
TCGA-D3-A2JA	-0.8059	84.47761194	16.66666667
TCGA-D3-A2JB	10.2426	8.333333333	25
TCGA-D3-A2JC	1.0289	76.47058824	33.33333333
TCGA-D3-A2JD	-1.3913	81.91489362	33.33333333
TCGA-D3-A2JF	1.9311	92.19712526	28.57142857
TCGA-D3-A2JG	-0.1645	83.17757009	0
TCGA-D3-A2JH	1.0216	84.95575221	25
TCGA-D3-A2JK	-1.7385	88.57142857	10
TCGA-D3-A2JL	-1.6017	75.43859649	50
TCGA-D3-A2JN	-1.0972	83.88429752	9.090909091
TCGA-D3-A2JO	-0.7496	77.19298246	14.81481481
TCGA-D3-A2JP	0.2039	79.67479675	40
TCGA-D3-A3BZ	-0.0617	25	60
TCGA-D3-A3C1	-0.0348	83.55263158	53.84615385
TCGA-D3-A3C3	0.9096	82.9787234	42.85714286
TCGA-D3-A3C6	-0.3033	75.70093458	60
TCGA-D3-A3C7	-1.2891	85.71428571	20
TCGA-D3-A3C8	0.6231	59.3220339	0
TCGA-D3-A3CB	0.8309	89.81481481	0
TCGA-D3-A3CC	-0.8355	42.85714286	33.33333333
TCGA-D3-A3CE	0.2455	20.58823529	14.28571429
TCGA-D3-A3CF	0.7857	35.29411765	0
TCGA-D3-A3ML	1.5416	90.54187192	28.57142857
TCGA-D3-A3MO	-1.4656	66.66666667	53.33333333
TCGA-D3-A3MR	-0.8768	89.28987194	31.81818182
TCGA-D3-A3MU	-0.5012	87.19512195	25
TCGA-D3-A3MV	-1.0334	90.01751313	23.52941176
TCGA-D3-A51E	0.3899	85.18518519	28.57142857
TCGA-D3-A51F	0.2735	81.94444444	33.33333333
TCGA-D3-A51G	-0.9436	90.87481146	27.77777778
TCGA-D3-A51J	-0.3557	91.70305677	26.31578947
TCGA-D3-A51K	-1.0321	23.52941176	66.66666667
TCGA-D3-A51N	-0.8127	79.12087912	42.85714286
TCGA-D3-A51R	-0.9605	91.82389937	25
TCGA-D3-A51T	1.0332	91.08280255	19.04761905
TCGA-D3-A5GN	-0.6678	91.83266932	30.76923077
TCGA-D3-A5GO	-0.3309	92.88277512	42.85714286
TCGA-D3-A5GR	0.4422	84.2519685	52.63157895
TCGA-D3-A5GS	-1.096	95.76470588	25
TCGA-D3-A5GT	-1.0319	26.66666667	60
TCGA-D3-A5GU	-1.1173	87.24747475	64
TCGA-D9-A148	0.1499	85.90909091	20
TCGA-D9-A149	-0.1508	83.83233533	10
TCGA-D9-A1JW	3.5143	87.7293578	29.03225806
TCGA-D9-A1JX	-1.1363	81.92771084	28.57142857
TCGA-D9-A1X3	-0.1439	59.375	50
TCGA-D9-A3Z1	0.4162	91.98396794	43.47826087
TCGA-D9-A3Z3	-1.0045	87.76978417	50
TCGA-D9-A3Z4	-1.3482	83.43558282	35.71428571
TCGA-D9-A4Z2	-0.7461	43.47826087	25
TCGA-D9-A4Z3	-0.7528	87.63127188	34.61538462
TCGA-D9-A4Z5	2.9788	42.85714286	58.33333333
TCGA-D9-A6E9	0.0618	87.61061947	47.05882353
TCGA-D9-A6EA	-0.5197	85.68904594	17.64705882
TCGA-D9-A6EC	-0.0848	68.1466031	19.48051948
TCGA-DA-A1HV	-0.7694	90.37690457	30
TCGA-DA-A1HW	0.0234	88.70431894	0
TCGA-DA-A1HY	-0.6276	90.96774194	25
TCGA-DA-A1I0	-1.6741	89.6	29.41176471
TCGA-DA-A1I1	-0.5597	84.56140351	18.18181818
TCGA-DA-A1I2	-0.0221	86.66666667	20
TCGA-DA-A1I4	-0.8052	91.82879377	37.5
TCGA-DA-A1I5	-1.1082	88.0239521	5.263157895
TCGA-DA-A1I7	-0.2319	88.3161512	50
TCGA-DA-A1I8	-0.4417	81.31868132	31.25
TCGA-DA-A1IA	-1.7505	86.61202186	25
TCGA-DA-A1IC	-0.8163	87.99149841	36.36363636
TCGA-DA-A3F2	-1.0816	28.57142857	50
TCGA-DA-A3F3	4.3062	85.17350158	40
TCGA-DA-A3F5	-1.4938	81.05590062	41.93548387
TCGA-DA-A3F8	0.2712	94.17152373	21.21212121
TCGA-EB-A1NK	-0.7219	85.71428571	20
TCGA-EB-A24C	1.8239	44.44444444	20
TCGA-EB-A24D	-0.142	87.26937269	9.090909091
TCGA-EB-A299	-0.8793	86.66666667	16.66666667
TCGA-EB-A3HV	-1.1324	72.4137931	28.57142857
TCGA-EB-A3XB	-1.6141	89.86083499	31.03448276
TCGA-EB-A3XC	-0.6132	84.25	35.71428571
TCGA-EB-A3XD	-0.0868	92.8	50
TCGA-EB-A3XE	0.7368	42.85714286	50
TCGA-EB-A3Y6	-1.5345	88.4057971	40
TCGA-EB-A3Y7	-1.9267	86.22862286	21.27659574
TCGA-EB-A41A	-0.4933	92.20205983	24.59016393
TCGA-EB-A42Y	-1.1845	48.8372093	40
TCGA-EB-A42Z	-0.6941	80	54.54545455
TCGA-EB-A430	-1.2506	86.86868687	35
