Barcode	ACO	AGO	ATO	CAO	CGO	CTO	GAO	GCO	GTO	TAO	TCO	TGO	ACX	AGX	ATX	CAX	CGX	CTX	GAX	GCX	GTX	TAX	TCX	TGX
TCGA-BF-A1PU		2		5		38	29	1	6					1	1			2						
TCGA-BF-A1PV		7		1	3	139	109	2	2	2	5	2	1	1	1			2		1	2		1	1
TCGA-BF-A1PX		8	1	1	1	63	68		2		4													
TCGA-BF-A1PZ		4	1			75	79	2	2		4	4	2	1					3		1	1	1	
TCGA-BF-A1Q0	9	8	4	19	5	156	149	5	14	2	16	9	3	1			2	2		4		2	4	
TCGA-BF-A3DJ		4	3	1	2	77	56	1	4	2	3	2	1		1			3			1		2	2
TCGA-BF-A3DL	3	9	5	9	3	227	192	2	3	5	11	2			2		3	4	5			2		2
TCGA-BF-A3DM	5	4	6	2	1	259	227	3	6	8	9	3		2	2	1		3	2		2	1	3	1
TCGA-BF-A3DN		2	1	2	2	38	31	1	4	1	3	1		3	1				1	1			1	1
TCGA-BF-A5EO	4	7	5	5	2	296	299	3	8	7	13	6	4	1	1	1		2	3	1	2		3	
TCGA-BF-A5EQ	2	7	8	9	3	307	233	4	6	3	6	1	2	3	3			4	3	1	1	2	2	
TCGA-D3-A1Q1		2		7	3	6	6	4	4	1	4	1					3	4	1	1	2		2	
TCGA-D3-A1Q3	1	4	1	24	3	3	1	1	12	1	2	1		5					2				2	1
TCGA-D3-A1Q4			2	3	3	106	92		4	3	3	3	2	1	2		1		2	1		1	2	
TCGA-D3-A1Q5	1	3	4	11	2	153	154	3	9	3	7	2	2	1	1	1		1	3	2	3	1		2
TCGA-D3-A1Q6	3	15	3	11	7	322	272	2	6	2	10	4	2	3	2			4	5	2		2	2	1
TCGA-D3-A1Q7	3	1	1	2		40	35							1					1					
TCGA-D3-A1Q8	2	6	1	1	5	89	107	2	2		2	1	1			1		2	3		2			
TCGA-D3-A1Q9		2		6	4	3	5	1	1		2	2		1	1			1	2	2		1	1	
TCGA-D3-A1QA		5	1	10	4	170	169	2	10	2	6	1	3	1		1	1	6			2		1	1
TCGA-D3-A1QB	3	11	2	6	2	136	112	3	1	4	4	2	2		1	1	3			1		2	2	1
TCGA-D3-A2J6		1		11		5	5		13		2		1						1					
TCGA-D3-A2J7	2	4	2	1	2	126	129	3	1	2	6			1	1				2					2
TCGA-D3-A2J8	2	8		5	3	125	119	2	1	5	8	2						1				1		
TCGA-D3-A2J9		1		1	1	13	11	1			2						1							
TCGA-D3-A2JA	2	7		5	7	146	137	3	10	6	7	5	3	1	3	1	1	1	3		2	4	4	1
TCGA-D3-A2JB	1	1		9			2		10			1		1			1	1		1				
TCGA-D3-A2JC		2		4	1	34	44	1	12		2	2		1				1					1	
TCGA-D3-A2JD	4	2	1	7	1	89	65	2	9		7	1		2	1				3		1	1		1
TCGA-D3-A2JF	4	21	19	8	5	690	657	10	11	13	18	5	4	2	3	2	1	7	5	4	3	3	2	6
TCGA-D3-A2JG	2		1	5	1	42	47		6		3		1		1	1	1							
TCGA-D3-A2JH	3	9	4	6	6	153	135	3	4	3	7	6	2	1	1			3	2	4	1	1	3	2
TCGA-D3-A2JK		3	2	5		106	111	2	6	3	2	5	1		2				1	1		1	3	1
TCGA-D3-A2JL	1	5	2	14	4	92	80	2	12	3	12	1					2	1	1					
TCGA-D3-A2JN	3	2	2	7	4	106	97	4	3	2	10	2	1	3	1	1	1		1		1		2	
TCGA-D3-A2JO	2	20	2	8	9	157	151	11	11	3	21	4	2	3	2	2	4	1	3	1	1	2	6	
TCGA-D3-A2JP		5	1	4	2	50	48	1	8	1	3				1			1	1				2	
TCGA-D3-A3BZ	2	3			5	3	5	6	2		3	3					1	3	3	1	2			
TCGA-D3-A3C1		1	4	6	4	71	56	3	4	1	1	1	2	1	1			5	2				1	1
TCGA-D3-A3C3	3	5	2	2	9	99	96	3	5	3	7	1	3	1	1	1	1	1	8	2	1	1		1
TCGA-D3-A3C6		3	2	9		43	38	2	4	2	3	1			1			1	2				1	
TCGA-D3-A3C7	6	18	15	6	4	368	346	4	8	21	30	7	1	1	3			2	1	1	1	1	1	3
TCGA-D3-A3C8	2	9			4	23	12	2			4	3												2
TCGA-D3-A3CB		3	1	1	1	45	52	1			3	1	1		1							1		3
TCGA-D3-A3CC	1	1		1	4	5	4	4	1							1			1	1				
TCGA-D3-A3CE		1		12	1	3	4		12		1			1	1		1	1		1			1	1
TCGA-D3-A3CF	1	2		3	1	5	1	3			1													
TCGA-D3-A3ML	2	18	8	10	9	490	429	5	2	11	26	5	1	9	4	1	1	3	7			1	3	5
TCGA-D3-A3MO		1	2	3	1	18	20	4	2	1	5			1	2			1	7	1	1		1	1
TCGA-D3-A3MR	5	18	9	10	6	397	370	8	6	7	18	5	2	2	2	1	2	3	4		1		3	2
TCGA-D3-A3MU	5	8	7	4	3	215	214	7	9	10	4	6	2		3	1	2	3	2	1	1	1	1	3
TCGA-D3-A3MV	8	7	5	4	3	246	268	1	4	7	17	1		5	2		1	2	2	1			4	
TCGA-D3-A51E	3	8	3	8	1	123	130	1	2	3	14	1	1	2	2			1	3		2	1		2
TCGA-D3-A51F		2	2	1	2	36	23		3	1	1	1				2			1					
TCGA-D3-A51G	5	25	9	11	7	623	582	5	13	9	28	9	2	1	3	3		4	6	3	6	2	5	1
TCGA-D3-A51H						4	3							2								1		
